City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
198,Talnakh,RU,69.4865,88.3972,-16.56,87,100,9.64,light snow
199,Cairns,AU,-16.9167,145.7667,84.2,74,75,6.91,broken clouds
200,Pangnirtung,CA,66.1451,-65.7125,3.11,89,85,1.77,overcast clouds
201,Nerchinskiy Zavod,RU,51.3088,119.61,-11.29,89,77,2.48,broken clouds
202,Comodoro Rivadavia,AR,-45.8667,-67.5,50.0,43,0,14.97,clear sky
203,Wanning,CN,18.8003,110.3967,52.34,77,100,18.92,overcast clouds
204,Artemovsk,UA,49.8406,36.0417,30.2,74,90,6.71,overcast clouds
205,Male,MV,4.1748,73.5089,86.0,74,75,14.97,broken clouds
206,Tibu,CO,8.639,-72.7358,71.6,95,26,1.72,scattered clouds
207,Marzuq,YE,14.4,46.4667,61.75,29,0,8.55,clear sky
208,Lorengau,PG,-2.0226,147.2712,85.32,63,100,4.68,overcast clouds
209,Rudbar,AF,30.15,62.6,52.93,30,0,2.33,clear sky
210,Ulaangom,MN,49.9811,92.0667,-18.58,85,100,2.8,overcast clouds
211,Ketchikan,US,55.3422,-131.6461,44.6,87,90,23.02,light rain
212,Hami,CN,42.8,93.45,23.41,75,0,2.95,clear sky
213,Torbay,CA,47.6666,-52.7314,32.0,93,90,20.71,light snow
214,Cherskiy,RU,68.75,161.3,-36.44,82,0,1.88,clear sky
215,Udon Thani,TH,17.3333,102.8333,79.0,41,0,13.8,clear sky
216,Lebu,CL,-37.6167,-73.65,53.74,84,99,9.08,light rain
217,Airai,TL,-8.9266,125.4092,68.38,100,100,1.92,moderate rain
218,Ulaanbaatar,MN,47.9077,106.8832,-2.2,71,40,3.44,smoke
219,Hirado,JP,33.3597,129.5531,44.6,57,75,11.5,broken clouds
220,Ostrovnoy,RU,68.0531,39.5131,6.51,92,7,17.31,clear sky
221,Coahuayana,MX,18.7333,-103.6833,67.19,80,0,3.96,clear sky
222,Nemuro,JP,43.3236,145.575,19.4,49,20,5.75,few clouds
223,Broken Hill,AU,-31.95,141.4333,96.8,14,79,8.05,broken clouds
224,Saint-Augustin,CA,51.226,-58.6502,13.96,83,0,10.4,clear sky
225,Saryg-Sep,RU,51.5,95.6,4.82,92,100,0.27,light snow
226,Muros,ES,42.7762,-9.0603,45.0,76,1,1.99,clear sky
